                                                                               1 Aug 2018 13:00:48
Approved for Personal Home Use Only
Satellite-KickSat2-To-Facility-Facility1:  Access Summary Report


KickSat2-To-Facility1
---------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------    ------------------------    ------------------------    --------------
                       1     2 Dec 2018 05:59:04.083     2 Dec 2018 06:03:11.335           247.253
                       2     2 Dec 2018 12:28:06.809     2 Dec 2018 12:32:20.354           253.545
                       3     3 Dec 2018 05:05:09.848     3 Dec 2018 05:09:20.089           250.241
                       4     3 Dec 2018 11:34:32.476     3 Dec 2018 11:38:00.778           208.302
                       5     3 Dec 2018 13:11:58.494     3 Dec 2018 13:13:00.386            61.892
                       6     4 Dec 2018 04:12:00.309     4 Dec 2018 04:14:55.131           174.822
                       7     4 Dec 2018 05:48:24.793     4 Dec 2018 05:51:11.717           166.924
                       8     4 Dec 2018 10:41:42.166     4 Dec 2018 10:42:45.667            63.500
                       9     4 Dec 2018 12:16:49.191     4 Dec 2018 12:20:39.803           230.612
                      10     5 Dec 2018 04:53:48.377     5 Dec 2018 04:57:49.169           240.792
                      11     5 Dec 2018 11:22:46.350     5 Dec 2018 11:27:02.050           255.700
                      12     6 Dec 2018 03:59:47.970     6 Dec 2018 04:04:02.088           254.118
                      13     6 Dec 2018 10:29:07.892     6 Dec 2018 10:32:48.648           220.755
                      14     7 Dec 2018 03:06:27.956     7 Dec 2018 03:09:45.690           197.734
                      15     7 Dec 2018 04:43:18.574     7 Dec 2018 04:45:42.488           143.914
                      16     7 Dec 2018 09:36:01.839     7 Dec 2018 09:37:51.323           109.483
                      17     7 Dec 2018 11:11:35.169     7 Dec 2018 11:15:12.745           217.576
                      18     8 Dec 2018 03:48:33.745     8 Dec 2018 03:52:26.296           232.551
                      19     8 Dec 2018 10:17:26.613     8 Dec 2018 10:21:42.668           256.055
                      20     9 Dec 2018 02:54:27.290     9 Dec 2018 02:58:43.238           255.948
                      21     9 Dec 2018 09:23:44.151     9 Dec 2018 09:27:35.304           231.154
                      22    10 Dec 2018 02:00:58.438    10 Dec 2018 02:04:33.745           215.307
                      23    10 Dec 2018 03:38:15.643    10 Dec 2018 03:40:10.333           114.691
                      24    10 Dec 2018 08:30:29.071    10 Dec 2018 08:32:49.061           139.991
                      25    10 Dec 2018 10:06:22.914    10 Dec 2018 10:09:43.592           200.679
                      26    11 Dec 2018 02:43:20.231    11 Dec 2018 02:47:02.674           222.443
                      27    11 Dec 2018 09:12:07.642    11 Dec 2018 09:16:22.160           254.517
                      28    12 Dec 2018 01:49:07.741    12 Dec 2018 01:53:23.614           255.873
                      29    12 Dec 2018 08:18:21.170    12 Dec 2018 08:22:20.838           239.668
                      30    13 Dec 2018 00:55:31.095    13 Dec 2018 00:59:19.962           228.867
                      31    13 Dec 2018 02:33:19.415    13 Dec 2018 02:34:31.842            72.426
                      32    13 Dec 2018 07:24:59.496    13 Dec 2018 07:27:43.242           163.746
                      33    13 Dec 2018 09:01:13.034    13 Dec 2018 09:04:11.727           178.694
                      34    14 Dec 2018 00:03:18.814    14 Dec 2018 00:04:02.638            43.824
                      35    14 Dec 2018 01:38:07.913    14 Dec 2018 01:41:38.225           210.312
                      36    14 Dec 2018 08:06:49.506    14 Dec 2018 08:11:00.470           250.964
                      37    15 Dec 2018 00:43:49.279    15 Dec 2018 00:48:03.262           253.983
                      38    15 Dec 2018 07:12:58.904    15 Dec 2018 07:17:05.295           246.391
                      39    15 Dec 2018 23:50:05.537    15 Dec 2018 23:54:04.735           239.197
                      40    16 Dec 2018 06:19:31.871    16 Dec 2018 06:22:35.112           183.242
                      41    16 Dec 2018 07:56:06.721    16 Dec 2018 07:58:35.967           149.246
                      42    16 Dec 2018 22:57:20.212    16 Dec 2018 22:59:18.602           118.390
                      43    17 Dec 2018 00:32:56.905    17 Dec 2018 00:36:12.834           195.929
                      44    17 Dec 2018 07:01:32.297    17 Dec 2018 07:05:37.504           245.208
                      45    17 Dec 2018 23:38:31.879    17 Dec 2018 23:42:42.207           250.328
                      46    18 Dec 2018 06:07:37.329    18 Dec 2018 06:11:48.693           251.364
                      47    18 Dec 2018 22:44:41.517    18 Dec 2018 22:48:48.316           246.800
                      48    19 Dec 2018 05:14:05.634    19 Dec 2018 05:17:25.232           199.598
                      49    19 Dec 2018 06:51:07.114    19 Dec 2018 06:52:53.178           106.065
                      50    19 Dec 2018 21:51:39.648    19 Dec 2018 21:54:16.845           157.197
                      51    19 Dec 2018 23:27:47.408    19 Dec 2018 23:30:46.293           178.885
                      52    20 Dec 2018 05:56:16.144    20 Dec 2018 06:00:13.134           236.990
                      53    20 Dec 2018 22:33:15.530    20 Dec 2018 22:37:20.470           244.940
